dept_no,dept_name,gender, avg_salary
d001,Marketing,M,68693.7540
d001,Marketing,F,67554.2469
d002,Finance,M,67982.0745
d002,Finance,F,67420.6947
d003,"Human Resources",M,60190.3843
d003,"Human Resources",F,59868.1174
d004,Production,M,62978.9139
d004,Production,F,61860.7746
d005,Development,M,62924.4289
d005,Development,F,61963.6756
d006,"Quality Management",M,61990.4138
d006,"Quality Management",F,60696.8363
d007,Sales,M,72609.2690
d007,Sales,F,71277.3089
d008,Research,M,62900.3114
d008,Research,F,61795.8586
d009,"Customer Service",M,62957.6283
d009,"Customer Service",F,62343.9477
